MSFT,IBM,SBUX,AAPL,GSPC,Date
-0.09901124066864357,1.3249452278961102,0.2547234547541048,0.8502985486152909,-0.21515756484059753,2012-04-09
-0.15848049470017309,1.2616397823223091,0.2352126762671485,0.8205448424996921,-0.2804515520509627,2012-04-10
-0.16980790628703651,1.2677035121691962,0.31173162038829166,0.8119891817755214,-0.2524644599753448,2012-04-11
-0.11033875785565986,1.3341622225033722,0.3525823229134858,0.7988881936690637,-0.20030671318399015,2012-04-12
-0.12638607387059927,1.273039645814967,0.38428723324624275,0.7318944159092314,-0.2481777618016087,2012-04-13
-0.10089916019981289,1.27109920195388,0.3227064292599528,0.636025481688084,-0.25008615056129346,2012-04-16
-0.06691671423891725,1.3858250049106502,0.29252562431784873,0.7489675420569706,-0.19142915064652108,2012-04-17
-0.0952355072064578,1.2082789543175698,0.3434366595931062,0.743773125526208,-0.20702674640874982,2012-04-18
-0.1075068785589057,1.193240628127046,0.29709852041406737,0.663945784504571,-0.22975927594418033,2012-04-19
0.025590814787617683,1.1954238716619983,0.30776841799715726,0.6087161015896899,-0.22530682330607474,2012-04-20
-0.0027278725797699925,1.1716537488017018,0.28947715579242744,0.6038270453722051,-0.25735949329459873,2012-04-23
-0.021606856691158194,1.205125689557194,0.27392938638851877,0.5602086183594286,-0.2434488231062125,2012-04-24
0.004824016745213039,1.2917160600538,0.31813353316373416,0.7501135165559066,-0.1916782911995457,2012-04-25
-0.003671621145049089,1.3404683773745674,0.3534967990350832,0.7413286262876854,-0.16598646260881209,2012-04-26
-0.015943203697802732,1.370301855432193,0.25502836604267587,0.723377123706981,-0.15663897665145257,2012-04-27
-0.012167259035311217,1.3768508099772527,0.25319922049139404,0.6507303837176255,-0.17171094856889005,2012-04-30
-0.01311143000120144,1.399165312264395,0.2620400369592313,0.6436644263275888,-0.14983589473200204,2012-05-01
-0.03293437387817449,1.400620558187992,0.2699662484334133,0.6583693283571302,-0.1595425725163309,2012-05-02
-0.03671010734036025,1.380731670938744,0.2312496671841009,0.6424803142684901,-0.18924461598903386,2012-05-03
-0.11033875785565986,1.3261580487953983,0.19802032928054664,0.5791914517968242,-0.2513858640159722,2012-05-04
-0.1414893245198017,1.2960817710639074,0.20077239207320663,0.5953478907301174,-0.2500584676630632,2012-05-07
-0.15564861540341893,1.2614953281572567,0.1613252995646952,0.5903825305220874,-0.26626439857080986,2012-05-08
-0.13110576709836988,1.2554062024225159,0.15857317233600632,0.5942021183227187,-0.29154133214414935,2012-05-09
-0.1329936866295396,1.2400618143042943,0.18150750147238454,0.5993200287713988,-0.2821108002576229,2012-05-10
